grad_norm,loss,loss_q0,loss_q1,loss_q2,loss_q3,mse,mse_q0,mse_q1,mse_q2,mse_q3,samples,step,eval_loss,eval_loss_q0,eval_loss_q1,eval_loss_q2,eval_loss_q3,eval_mse,eval_mse_q0,eval_mse_q1,eval_mse_q2,eval_mse_q3
1.0405275845354398,1.75624680519104,1.782115,1.7562623,1.7282623,1.7740318,1.0102252960205078,1.0219809,1.0010705,1.021273,0.9961364,64,0,,,,,,,,,,
,,,,,,,,,,,,,2.364879846572876,2.3259804,2.3404586,2.3878107,2.4317405,1.6205016374588013,1.5969474,1.6156131,1.6248963,1.6585555
0.776652452442236,1.4226290678977962,1.1783423,1.3612096,1.4980297,1.6423552,0.6974816846847531,0.45039064,0.6296323,0.77901787,0.92055094,3264,50,,,,,,,,,,
0.3845726698193722,1.2799551963806144,0.9789637,1.2012408,1.3986179,1.5570121,0.5890903496742245,0.28502905,0.516251,0.70690924,0.86388034,6464,100,,,,,,,,,,
0.3627211540436697,1.2351265978813166,0.9186897,1.1453968,1.3412753,1.5183364,0.5787121319770809,0.2582071,0.48745456,0.6895018,0.862477,9664,150,,,,,,,,,,
0.3703762152021245,1.1924432802200318,0.86325246,1.0903696,1.3110434,1.4872614,0.5669712895154952,0.23567218,0.46848527,0.6805701,0.86530006,12864,200,,,,,,,,,,
0.3513849128337779,1.149673974514007,0.8152285,1.0571269,1.2711803,1.4613143,0.5557820945978164,0.22015275,0.46187878,0.68023854,0.8670445,16064,250,,,,,,,,,,
0.3482187955819123,1.1265026545524595,0.78634787,1.0104918,1.2480648,1.4400015,0.5569857788085939,0.21649212,0.44689974,0.6761802,0.8675676,19264,300,,,,,,,,,,
0.3519302408664606,1.0872656822204592,0.74614483,0.97665167,1.2136291,1.4136317,0.5447959458827971,0.20194642,0.43680033,0.67303455,0.8684359,22464,350,,,,,,,,,,
0.32821408143034364,1.0534495091438294,0.70615125,0.94942003,1.191603,1.3849199,0.5365063303709033,0.18967184,0.42931187,0.67610013,0.8692826,25664,400,,,,,,,,,,
0.3376787398333352,1.0230990600585936,0.66640013,0.9173028,1.1601428,1.369152,0.5312337934970855,0.17732924,0.4270121,0.67044365,0.8708435,28864,450,,,,,,,,,,
0.33602903372392273,0.9958231508731844,0.63820356,0.8909699,1.1364353,1.3448797,0.5266859382390979,0.1720044,0.4208506,0.66904026,0.8719985,32064,500,,,,,,,,,,
0.3455695225243525,0.9804841208457944,0.61641204,0.8643455,1.1250995,1.3260181,0.533306976556778,0.16968945,0.41788328,0.6768311,0.87880915,35264,550,,,,,,,,,,
0.3275750333117274,0.9491480290889742,0.592815,0.8261445,1.0873656,1.3020377,0.522211109995842,0.16122757,0.40501836,0.6583127,0.87604237,38464,600,,,,,,,,,,
0.3435493251982264,0.9296659672260289,0.567904,0.8095928,1.0624285,1.2832533,0.5195980960130692,0.15761735,0.39803305,0.65131724,0.87594974,41664,650,,,,,,,,,,
0.32135594385249033,0.894776586294174,0.53465104,0.7773633,1.0317056,1.2611688,0.5063556027412414,0.14972381,0.3864649,0.64314204,0.87165594,44864,700,,,,,,,,,,
0.35359916011061565,0.8777896547317507,0.516014,0.7465587,0.9986488,1.2319672,0.5067720687389374,0.14312641,0.3750169,0.6271385,0.8636486,48064,750,,,,,,,,,,
0.31929255743360563,0.8450618958473203,0.495816,0.70282906,0.9757462,1.2192739,0.4918675702810288,0.14159147,0.35327095,0.62225294,0.8635696,51264,800,,,,,,,,,,
0.3275501731643701,0.8218098831176757,0.4708561,0.68564254,0.94903886,1.200206,0.48484415829181676,0.13406861,0.34982052,0.61089826,0.86302,54464,850,,,,,,,,,,
0.2914245293305308,0.8036106026172639,0.450702,0.65778667,0.926061,1.1882335,0.4818142396211625,0.12950441,0.33676532,0.60438,0.8649523,57664,900,,,,,,,,,,
0.2919882735849584,0.7807877087593079,0.4374404,0.6353075,0.899837,1.1654714,0.47192556440830236,0.13001096,0.32586792,0.59203404,0.85453475,60864,950,,,,,,,,,,
0.2914544089175901,0.7636781740188601,0.41179278,0.6126074,0.87768,1.1520158,0.4709830659627914,0.1209182,0.32164222,0.585712,0.8549447,64064,1000,,,,,,,,,,
0.28475314084730025,0.7486007642745969,0.39459622,0.5988452,0.8647529,1.1354178,0.468574993610382,0.116800904,0.3163492,0.5863421,0.85422623,67264,1050,,,,,,,,,,
0.28811289305502097,0.7298956656455994,0.3757182,0.57639116,0.84271204,1.1219815,0.46426651835441585,0.111509144,0.3102899,0.5754746,0.8570966,70464,1100,,,,,,,,,,
0.27677897998844053,0.7106681525707247,0.3616013,0.5533704,0.8283922,1.1149944,0.4553396034240724,0.107586,0.29790184,0.5728861,0.8586242,73664,1150,,,,,,,,,,
0.28349570662681667,0.6948219275474545,0.34332833,0.53314143,0.8103066,1.1048808,0.45245329797267914,0.10070093,0.2898832,0.5695591,0.8620985,76864,1200,,,,,,,,,,
0.2850305499083544,0.686759009361267,0.33673418,0.5225626,0.797182,1.0859535,0.4548319160938263,0.102421306,0.29057908,0.5654383,0.85625446,80064,1250,,,,,,,,,,
0.2812061428785812,0.6767684137821197,0.32222474,0.5056831,0.7775903,1.0733799,0.4555173248052597,0.100348905,0.28461263,0.556417,0.8524567,83264,1300,,,,,,,,,,
0.27098616659126185,0.6550446724891662,0.30911297,0.48273838,0.76571643,1.0632764,0.44441899836063375,0.09856897,0.27205378,0.55641824,0.8511877,86464,1350,,,,,,,,,,
0.2722222738709791,0.6428011488914495,0.2950717,0.47363693,0.7571326,1.0575206,0.44093624889850613,0.09476696,0.26900205,0.55538565,0.85652435,89664,1400,,,,,,,,,,
0.2752382921209675,0.6346999967098235,0.28200045,0.45909256,0.7358741,1.0494663,0.4419076406955719,0.089779176,0.26685566,0.5443075,0.85431606,92864,1450,,,,,,,,,,
0.26560236188756087,0.6190240907669066,0.2732773,0.4519148,0.7247197,1.0323309,0.4353045338392259,0.0895845,0.27030405,0.5416159,0.84594417,96064,1500,,,,,,,,,,
0.2570454084503776,0.6008554482460022,0.2627422,0.43524334,0.72228247,1.0299807,0.4258840602636337,0.087938905,0.26205808,0.54524934,0.85501075,99264,1550,,,,,,,,,,
